date,original,trend,seasonal,residual
2024-09-01,37300.0,,-9.62161029202301,
2024-09-02,36700.0,,-992.0196658475785,
2024-09-03,34600.0,,-554.9749436253559,
2024-09-04,33000.0,,-1245.349388069801,
2024-09-05,37600.0,,-1167.1143880697985,
2024-09-06,35400.0,,-562.8266102920236,
2024-09-07,38400.0,,-673.1229991809122,
2024-09-08,36000.0,,-532.466888069802,
2024-09-09,36200.0,,761.4406119302018,
2024-09-10,34400.0,,1055.9156119301974,
2024-09-11,33000.0,,2280.587556374646,
2024-09-12,35600.0,,24.1497785968666,
2024-09-13,34000.0,,956.182556374644,
2024-09-14,35000.0,,559.7150147079766,
2024-09-15,32400.0,,258.60405637464356,
2024-09-16,37000.0,35444.99999999999,384.77556492165456,1170.2244350783526
2024-09-17,36000.0,35438.33333333333,191.00300081908807,370.66366584758345
2024-09-18,33000.0,35436.666666666664,403.97011620370336,-2840.636782870368
2024-09-19,35400.0,35466.66666666667,285.60023158831797,-352.2668982549895
2024-09-20,34000.0,35453.33333333333,187.1748854344726,-1640.508218767801
2024-09-21,36200.0,35400.0,-454.78908251424537,1254.7890825142454
2024-09-22,36500.0,35360.0,1052.7700841524234,87.22991584757665
2024-09-23,35400.0,35363.33333333333,437.651514707977,-400.9848480413055
2024-09-24,35400.0,35316.66666666667,113.96104248575418,-30.627709152425695
2024-09-25,35000.0,35260.0,-219.7688325142461,-40.2311674857539
2024-09-26,40600.0,35300.0,33.56394526353458,5266.436054736466
2024-09-27,40200.0,35360.0,232.9711674857552,4607.028832514245
2024-09-28,32000.0,35410.0,-1183.5949436253572,-2226.4050563746428
2024-09-29,34400.0,35520.0,-545.0221658475787,-574.9778341524213
2024-09-30,32000.0,35626.666666666664,-1079.365221403135,-2547.3014452635293
2024-10-01,38600.0,35590.0,-9.62161029202301,3019.621610292023
2024-10-02,35000.0,35480.0,-992.0196658475785,512.0196658475785
2024-10-03,36200.0,35483.333333333336,-554.9749436253559,1271.6416102920202
2024-10-04,33200.0,35519.166666666664,-1245.349388069801,-1073.8172785968632
2024-10-05,36600.0,35486.666666666664,-1167.1143880697985,2280.447721403134
2024-10-06,33200.0,35385.83333333333,-562.8266102920236,-1623.006723041305
2024-10-07,38200.0,35221.666666666664,-673.1229991809122,3651.456332514248
2024-10-08,36400.0,35046.66666666667,-532.466888069802,1885.8002214031305
2024-10-09,33000.0,34900.0,761.4406119302018,-2661.440611930202
2024-10-10,34200.0,34716.66666666667,1055.9156119301974,-1572.582278596869
2024-10-11,35600.0,34360.0,2280.587556374646,-1040.5875563746458
2024-10-12,36600.0,33988.33333333333,24.1497785968666,2587.5168880698047
2024-10-13,36000.0,33838.33333333333,956.182556374644,1205.4841102920275
2024-10-14,39600.0,33746.66666666667,559.7150147079766,5293.618318625352
2024-10-15,34200.0,33630.0,258.60405637464356,311.39594362535644
2024-10-16,33000.0,33506.666666666664,384.77556492165456,-891.4422315883188
2024-10-17,33400.0,33330.0,191.00300081908807,-121.00300081908807
2024-10-18,35800.0,33163.33333333333,403.97011620370336,2232.696550462968
2024-10-19,34750.0,33063.33333333333,285.60023158831797,1401.0664350783536
2024-10-20,32700.0,32946.66666666667,187.1748854344726,-433.8415521011441
2024-10-21,31450.0,32790.0,-454.78908251424537,-885.2109174857546
2024-10-22,31400.0,32543.333333333336,1052.7700841524234,-2196.103417485759
2024-10-23,30000.0,32239.999999999996,437.651514707977,-2677.6515147079735
2024-10-24,32000.0,32146.666666666664,113.96104248575418,-260.62770915241845
2024-10-25,27400.0,32140.000000000004,-219.7688325142461,-4520.231167485757
2024-10-26,26800.0,32103.333333333332,33.56394526353458,-5336.897278596866
2024-10-27,31700.0,31996.666666666664,232.9711674857552,-529.6378341524194
2024-10-28,31500.0,31853.333333333332,-1183.5949436253572,830.2616102920251
2024-10-29,29400.0,31600.0,-545.0221658475787,-1654.9778341524213
2024-10-30,30000.0,31353.33333333333,-1079.365221403135,-273.9681119301936
2024-10-31,33200.0,31340.0,-9.62161029202301,1869.621610292023
2024-11-01,29800.0,31338.333333333332,-992.0196658475785,-546.3136674857536
2024-11-02,31400.0,31268.33333333333,-554.9749436253559,686.6416102920274
2024-11-03,32000.0,31165.83333333333,-1245.349388069801,2079.5160547364726
2024-11-04,30800.0,31084.999999999996,-1167.1143880697985,882.1143880698021
2024-11-05,29600.0,30987.499999999996,-562.8266102920236,-824.6733897079728
2024-11-06,27000.0,30923.333333333332,-673.1229991809122,-3250.21033415242
2024-11-07,29400.0,30946.666666666668,-532.466888069802,-1014.1997785968658
2024-11-08,34400.0,30960.0,761.4406119302018,2678.559388069798
2024-11-09,32400.0,31008.333333333336,1055.9156119301974,335.7510547364668
2024-11-10,35200.0,31141.666666666664,2280.587556374646,1777.74577695869
2024-11-11,30600.0,31231.666666666668,24.1497785968666,-655.8164452635344
2024-11-12,33400.0,31153.333333333336,956.182556374644,1290.4841102920202
2024-11-13,27000.0,31121.666666666668,559.7150147079766,-4681.381681374644
2024-11-14,32000.0,31183.333333333332,258.60405637464356,558.0626102920244
2024-11-15,34400.0,31206.666666666664,384.77556492165456,2808.557768411681
2024-11-16,31900.0,31233.333333333332,191.00300081908807,475.6636658475798
2024-11-17,33100.0,31300.0,403.97011620370336,1396.0298837962966
2024-11-18,31300.0,31320.0,285.60023158831797,-305.60023158831797
2024-11-19,31300.0,31240.0,187.1748854344726,-127.1748854344726
2024-11-20,27000.0,31216.666666666668,-454.78908251424537,-3761.8775841524225
2024-11-21,32000.0,31376.666666666664,1052.7700841524234,-429.4367508190876
2024-11-22,30800.0,31540.0,437.651514707977,-1177.651514707977
2024-11-23,32000.0,31531.666666666664,113.96104248575418,354.37229084758155
2024-11-24,30300.0,31498.333333333336,-219.7688325142461,-978.5645008190896
2024-11-25,31900.0,31470.0,33.56394526353458,396.4360547364654
