date,original,trend,seasonal,residual
2024-09-01,65000.0,,-864.0315105769212,
2024-09-02,65000.0,,-965.0406772435879,
2024-09-03,65000.0,,-1066.051510576924,
2024-09-04,65000.0,,-968.6481772435898,
2024-09-05,65000.0,,-871.2465105769219,
2024-09-06,65000.0,,-755.9865105769235,
2024-09-07,65000.0,,-640.7273439102568,
2024-09-08,65000.0,,-364.9323439102585,
2024-09-09,65000.0,,406.8918227564118,
2024-09-10,65000.0,,1236.5057116452965,
2024-09-11,65000.0,,1864.2332116452974,
2024-09-12,65000.0,,682.9343227564088,
2024-09-13,65000.0,,748.1615449786319,
2024-09-14,65000.0,,813.638447756409,
2024-09-15,65000.0,,834.4719338675197,
2024-09-16,65000.0,64999.99999999999,794.5750663461555,-794.5750663461482
2024-09-17,65000.0,64999.99999999999,637.9819894230764,-637.9819894230691
2024-09-18,65000.0,64999.99999999999,356.8465407051277,-356.84654070512045
2024-09-19,65000.0,64999.99999999999,79.37409198717998,-79.3740919871727
2024-09-20,65000.0,64999.99999999999,126.07695096153844,-126.07695096153117
2024-09-21,65000.0,64999.99999999999,185.66212831196566,-185.66212831195838
2024-09-22,65000.0,64999.99999999999,237.24907275641328,-237.249072756406
2024-09-23,65000.0,64999.99999999999,391.01939220085416,-391.0193922008469
2024-09-24,65000.0,64999.99999999999,393.9955866452965,-393.9955866452892
2024-09-25,65000.0,64999.99999999999,13.043489423078395,-13.043489423071119
2024-09-26,65000.0,64999.99999999999,-368.9015105769231,368.9015105769304
2024-09-27,65000.0,64999.99999999999,-712.9665105769237,712.966510576931
2024-09-28,65000.0,64999.99999999999,-779.2548439102551,779.2548439102624
2024-09-29,65000.0,64999.99999999999,-741.3765105769199,741.3765105769272
2024-09-30,65000.0,64999.99999999999,-703.4973439102561,703.4973439102633
2024-10-01,65000.0,64999.99999999999,-864.0315105769212,864.0315105769284
2024-10-02,65000.0,64999.99999999999,-965.0406772435879,965.0406772435952
2024-10-03,65000.0,64999.99999999999,-1066.051510576924,1066.0515105769314
2024-10-04,65000.0,64979.166666666664,-968.6481772435898,989.4815105769255
2024-10-05,65000.0,64916.666666666664,-871.2465105769219,954.5798439102576
2024-10-06,65000.0,64812.5,-755.9865105769235,943.4865105769235
2024-10-07,65000.0,64666.666666666664,-640.7273439102568,974.0606772435925
2024-10-08,65000.0,64500.0,-364.9323439102585,864.9323439102585
2024-10-09,65000.0,64333.33333333333,406.8918227564118,259.77484391025973
2024-10-10,65000.0,64166.66666666666,1236.5057116452965,-403.1723783119535
2024-10-11,65000.0,64000.0,1864.2332116452974,-864.2332116452974
2024-10-12,65000.0,63833.33333333333,682.9343227564088,483.73234391026267
2024-10-13,65000.0,63666.66666666666,748.1615449786319,585.1717883547111
2024-10-14,65000.0,63500.0,813.638447756409,686.361552243591
2024-10-15,65000.0,63333.33333333333,834.4719338675197,832.1947327991518
2024-10-16,65000.0,63166.66666666666,794.5750663461555,1038.7582669871877
2024-10-17,65000.0,63000.0,637.9819894230764,1362.0180105769236
2024-10-18,65000.0,62833.33333333333,356.8465407051277,1809.820125961544
2024-10-19,63750.0,62666.66666666666,79.37409198717998,1003.959241346163
2024-10-20,62500.0,62500.0,126.07695096153844,-126.07695096153844
2024-10-21,61250.0,62333.33333333333,185.66212831196566,-1268.9954616452942
2024-10-22,60000.0,62166.66666666666,237.24907275641328,-2403.91573942307
2024-10-23,60000.0,62000.0,391.01939220085416,-2391.0193922008543
2024-10-24,60000.0,61833.33333333333,393.9955866452965,-2227.328919978625
2024-10-25,60000.0,61666.66666666666,13.043489423078395,-1679.7101560897354
2024-10-26,60000.0,61500.0,-368.9015105769231,-1131.098489423077
2024-10-27,60000.0,61333.33333333333,-712.9665105769237,-620.3668227564048
2024-10-28,60000.0,61166.66666666666,-779.2548439102551,-387.4118227564019
2024-10-29,60000.0,61000.0,-741.3765105769199,-258.62348942308006
2024-10-30,60000.0,60833.33333333333,-703.4973439102561,-129.83598942307242
2024-10-31,60000.0,60666.666666666664,-864.0315105769212,197.36484391025692
2024-11-01,60000.0,60500.0,-965.0406772435879,465.0406772435879
2024-11-02,60000.0,60333.33333333333,-1066.051510576924,732.7181772435956
2024-11-03,60000.0,60187.5,-968.6481772435898,781.1481772435898
2024-11-04,60000.0,60083.33333333333,-871.2465105769219,787.9131772435934
2024-11-05,60000.0,60020.83333333333,-755.9865105769235,735.153177243595
2024-11-06,60000.0,60000.0,-640.7273439102568,640.7273439102568
2024-11-07,60000.0,60000.0,-364.9323439102585,364.9323439102585
2024-11-08,60000.0,60000.0,406.8918227564118,-406.8918227564118
2024-11-09,60000.0,60000.0,1236.5057116452965,-1236.5057116452965
2024-11-10,60000.0,60000.0,1864.2332116452974,-1864.2332116452974
2024-11-11,60000.0,60000.0,682.9343227564088,-682.9343227564088
2024-11-12,60000.0,60000.0,748.1615449786319,-748.1615449786319
2024-11-13,60000.0,60000.0,813.638447756409,-813.638447756409
2024-11-14,60000.0,60000.0,834.4719338675197,-834.4719338675197
2024-11-15,60000.0,60000.0,794.5750663461555,-794.5750663461555
2024-11-16,60000.0,60000.0,637.9819894230764,-637.9819894230764
2024-11-17,60000.0,60000.0,356.8465407051277,-356.8465407051277
2024-11-18,60000.0,60000.0,79.37409198717998,-79.37409198717998
2024-11-19,60000.0,60000.0,126.07695096153844,-126.07695096153844
2024-11-20,60000.0,60000.0,185.66212831196566,-185.66212831196566
2024-11-21,60000.0,60000.0,237.24907275641328,-237.24907275641328
2024-11-22,60000.0,60000.0,391.01939220085416,-391.01939220085416
