Ngày,price_wholesale,pct_change,mean_21_before,mean_21_after,magnitude
2024-09-28,33000.0,0.3306451612903225,29300.0,29704.761904761905,medium
2024-10-15,30800.0,0.21259842519685046,29190.47619047619,29733.333333333332,small
2024-11-13,33000.0,0.24060150375939848,29142.85714285714,28723.809523809523,small
2024-12-11,32000.0,0.20300751879699241,28657.14285714286,27552.380952380954,small
2025-03-12,23000.0,-0.2532467532467533,26809.52380952381,26714.285714285714,small
2025-03-13,30800.0,0.33913043478260874,26666.666666666668,26552.380952380954,medium
2025-03-19,22000.0,-0.2142857142857143,26990.47619047619,26942.85714285714,small
2025-04-15,26000.0,-0.23529411764705888,28076.190476190477,29600.0,small
