date,original,trend,seasonal,residual
2024-09-01,27700.0,,-854.4099002849001,
2024-09-02,28300.0,,26.978988603989166,
2024-09-03,30400.0,,-511.07656695156686,
2024-09-04,32000.0,,276.70121082621176,
2024-09-05,27400.0,,295.8678774928776,
2024-09-06,29600.0,,-193.15990028490074,
2024-09-07,26600.0,,32.39565527065493,
2024-09-08,29000.0,,167.53454415954423,
2024-09-09,28800.0,,-354.54878917378846,
2024-09-10,30600.0,,180.59009971509988,
2024-09-11,32000.0,,-416.3543447293448,
2024-09-12,29400.0,,658.7845441595439,
2024-09-13,31000.0,,-208.02101139601206,
2024-09-14,30000.0,,253.9234330484329,
2024-09-15,32600.0,,575.8678774928787,
2024-09-16,28000.0,29555.0,409.7995014245017,-1964.7995014245016
2024-09-17,29000.0,29561.666666666664,446.9789886039882,-1008.6456552706525
2024-09-18,32000.0,29563.333333333332,-47.12357549857603,2483.790242165244
2024-09-19,29600.0,29533.333333333332,-206.2261396011392,272.8928062678071
2024-09-20,31000.0,29546.666666666664,-61.097934472934824,1514.4312678062706
2024-09-21,28800.0,29600.0,640.4512108262112,-1440.451210826211
2024-09-22,28500.0,29640.0,-815.5210113960114,-324.47898860398857
2024-09-23,29600.0,29636.666666666664,-46.63212250712215,9.965455840457906
2024-09-24,29600.0,29683.333333333336,280.0345441595433,-363.3678774928791
2024-09-25,30000.0,29740.0,232.8123219373216,27.1876780626784
2024-09-26,24400.0,29700.0,-402.4654558404561,-4897.534544159544
2024-09-27,24800.0,29640.0,-945.9376780626782,-3894.062321937322
2024-09-28,33000.0,29590.0,404.3400997151002,3005.6599002849
2024-09-29,30600.0,29480.0,-196.3543447293451,1316.354344729345
2024-09-30,33000.0,29373.333333333332,375.8678774928767,3250.798789173791
2024-10-01,26400.0,29410.0,-854.4099002849001,-2155.5900997150998
2024-10-02,30000.0,29520.0,26.978988603989166,453.02101139601086
2024-10-03,28800.0,29516.666666666668,-511.07656695156686,-205.59009971510102
2024-10-04,31800.0,29460.0,276.70121082621176,2063.2987891737885
2024-10-05,28400.0,29430.0,295.8678774928776,-1325.8678774928776
2024-10-06,31800.0,29426.666666666664,-193.15990028490074,2566.4932336182364
2024-10-07,26800.0,29445.0,32.39565527065493,-2677.395655270655
2024-10-08,28600.0,29453.333333333332,167.53454415954423,-1020.8678774928763
2024-10-09,32000.0,29433.33333333333,-354.54878917378846,2921.21545584046
2024-10-10,30800.0,29450.0,180.59009971509988,1169.4099002849002
2024-10-11,29400.0,29640.0,-416.3543447293448,176.3543447293448
2024-10-12,28400.0,29845.0,658.7845441595439,-2103.7845441595437
2024-10-13,29000.0,29828.333333333332,-208.02101139601206,-620.3123219373201
2024-10-14,25400.0,29753.333333333332,253.9234330484329,-4607.256766381765
2024-10-15,30800.0,29703.333333333332,575.8678774928787,520.7987891737891
2024-10-16,32000.0,29660.0,409.7995014245017,1930.2004985754984
2024-10-17,31600.0,29670.0,446.9789886039882,1483.0210113960118
2024-10-18,29200.0,29670.0,-47.12357549857603,-422.87642450142397
2024-10-19,29000.0,29603.333333333332,-206.2261396011392,-397.1071937321929
2024-10-20,29800.0,29553.333333333336,-61.097934472934824,307.76460113959905
2024-10-21,29800.0,29543.333333333332,640.4512108262112,-383.7845441595433
2024-10-22,28600.0,29623.333333333332,-815.5210113960114,-207.8123219373207
2024-10-23,30000.0,29760.0,-46.63212250712215,286.6321225071222
2024-10-24,28000.0,29686.666666666668,280.0345441595433,-1966.701210826211
2024-10-25,32600.0,29526.666666666668,232.8123219373216,2840.5210113960106
2024-10-26,33200.0,29396.666666666664,-402.4654558404561,4205.798789173792
2024-10-27,28300.0,29336.666666666664,-945.9376780626782,-90.72898860398607
2024-10-28,28500.0,29313.333333333332,404.3400997151002,-1217.6734330484323
2024-10-29,30600.0,29400.0,-196.3543447293451,1396.354344729345
2024-10-30,30000.0,29480.0,375.8678774928767,144.1321225071233
2024-10-31,26800.0,29326.666666666664,-854.4099002849001,-1672.256766381764
2024-11-01,30200.0,29161.666666666668,26.978988603989166,1011.354344729343
2024-11-02,28600.0,29065.0,-511.07656695156686,46.07656695156686
2024-11-03,28000.0,29021.666666666664,276.70121082621176,-1298.367877492876
2024-11-04,29200.0,28998.333333333332,295.8678774928776,-94.20121082620972
2024-11-05,30400.0,29033.333333333336,-193.15990028490074,1559.826566951565
2024-11-06,33000.0,29076.666666666668,32.39565527065493,3890.937678062677
2024-11-07,30600.0,29053.333333333332,167.53454415954423,1379.1321225071238
2024-11-08,25600.0,29040.0,-354.54878917378846,-3085.4512108262115
2024-11-09,27600.0,28991.666666666664,180.59009971509988,-1572.256766381764
2024-11-10,24800.0,28858.333333333336,-416.3543447293448,-3641.9789886039907
2024-11-11,29400.0,28768.333333333332,658.7845441595439,-27.117877492876005
2024-11-12,26600.0,28846.666666666664,-208.02101139601206,-2038.6456552706522
2024-11-13,33000.0,28878.333333333336,253.9234330484329,3867.7432336182314
2024-11-14,28000.0,28816.666666666664,575.8678774928787,-1392.534544159543
2024-11-15,25600.0,28793.333333333336,409.7995014245017,-3603.1328347578374
2024-11-16,28100.0,28766.66666666667,446.9789886039882,-1113.6456552706597
2024-11-17,26900.0,28700.0,-47.12357549857603,-1752.876424501424
2024-11-18,28700.0,28680.0,-206.2261396011392,226.2261396011392
2024-11-19,28700.0,28760.0,-61.097934472934824,1.0979344729348242
2024-11-20,33000.0,28783.333333333332,640.4512108262112,3576.215455840457
2024-11-21,28000.0,28623.333333333336,-815.5210113960114,192.18767806267567
