Ngày,price_retail,pct_change,mean_21_before,mean_21_after,magnitude
2025-03-11,23000.0,0.1499999999999999,20000.0,24238.095238095237,small
2025-06-12,20333.33,-0.10294145544978583,21722.22238095238,17000.0,small
2025-06-13,18000.0,-0.11475395323835302,21642.85714285714,17000.0,small
