date,original,trend,seasonal,residual
2024-09-01,7571.43,,-274.9839087606838,
2024-09-02,6557.139999999999,,-32.167519871794596,
2024-09-03,6902.860000000001,,354.01164679487164,
2024-09-04,5428.57,,338.93609123931617,
2024-09-05,8294.29,,-245.80585320512844,
2024-09-06,9100.0,,263.8133134615385,
2024-09-07,9380.0,,47.74404957264926,
2024-09-08,10560.0,,165.07710512820506,
2024-09-09,7600.0,,-498.746408760684,
2024-09-10,9940.0,,-400.3439087606838,
2024-09-11,6000.0,,107.61886901709389,
2024-09-12,7600.0,,-553.0580754273503,
2024-09-13,9100.0,,-0.1091865384613584,
2024-09-14,6360.0,,272.7422023504276,
2024-09-15,8400.0,,-41.272797649572155,
2024-09-16,7940.0,8720.285833333332,-282.2739301282052,-498.0119032051263
2024-09-17,8560.0,8737.031833333334,-400.9552506410259,223.92341730769152
2024-09-18,5000.0,8784.365166666666,-261.00653269230787,-3523.358633974359
2024-09-19,8900.0,8904.9525,418.9055570512823,-423.8580570512817
2024-09-20,8900.0,9017.904833333332,226.65306987179451,-344.55790320512665
2024-09-21,10840.0,9088.0,424.06250790598324,1327.9374920940168
2024-09-22,9400.0,9157.666666666668,397.3688967948719,-155.03556346153977
2024-09-23,12080.0,9230.333333333334,506.5511606837608,2343.1155059829052
2024-09-24,10400.0,9283.333333333332,-21.50042264957222,1138.1670893162402
2024-09-25,6500.0,9355.333333333332,-111.64724209401716,-2743.686091239315
2024-09-26,11580.0,9493.333333333332,338.60275790598297,1748.0639087606849
2024-09-27,12140.0,9673.166666666666,15.130535683760588,2451.7027976495733
2024-09-28,9650.0,9819.333333333332,-129.03613098290606,-40.29720235042606
2024-09-29,10660.0,9978.5,-76.17501987179537,757.6750198717954
2024-09-30,9650.0,10136.0,-548.1355754273505,62.135575427350545
2024-10-01,8800.0,10207.666666666668,-274.9839087606838,-1132.682757905984
2024-10-02,6333.330000000002,10292.666666666666,-32.167519871794596,-3927.16914679487
2024-10-03,9966.669999999998,10481.0,354.01164679487164,-868.3416467948734
2024-10-04,9600.0,10698.333333333332,338.93609123931617,-1437.2694245726484
2024-10-05,10900.0,10871.333333333332,-245.80585320512844,274.4725198717963
2024-10-06,10700.0,11029.0,263.8133134615385,-592.8133134615384
2024-10-07,11960.0,11195.666666666666,47.74404957264926,716.5892837606847
2024-10-08,12340.0,11246.666666666668,165.07710512820506,928.2562282051271
2024-10-09,9000.0,11273.666666666668,-498.746408760684,-1774.9202579059838
2024-10-10,12860.0,11461.0,-400.3439087606838,1799.343908760684
2024-10-11,11360.0,11630.333333333334,107.61886901709389,-377.9522023504278
2024-10-12,13030.0,11683.333333333334,-553.0580754273503,1899.7247420940164
2024-10-13,12440.0,11775.166666666666,-0.1091865384613584,664.9425198717953
2024-10-14,12570.0,11869.333333333332,272.7422023504276,427.9244643162403
2024-10-15,11640.0,11876.118999999999,-41.272797649572155,-194.8462023504266
2024-10-16,9000.0,11960.142833333333,-282.2739301282052,-2677.868903205128
2024-10-17,12600.0,12144.682666666666,-400.9552506410259,856.2725839743603
2024-10-18,12260.0,12268.016,-261.00653269230787,252.99053269230825
2024-10-19,14680.0,12362.142833333333,418.9055570512823,1898.9516096153843
2024-10-20,13500.0,12452.619,226.65306987179451,820.7279301282049
2024-10-21,15700.0,12496.666666666668,424.06250790598324,2779.270825427349
2024-10-22,14540.0,12472.888833333333,397.3688967948719,1669.7422698717955
2024-10-23,10000.0,12460.222166666666,506.5511606837608,-2966.7733273504273
2024-10-24,14100.0,12589.333333333332,-21.50042264957222,1532.1670893162402
2024-10-25,14040.0,12710.5,-111.64724209401716,1441.1472420940172
2024-10-26,14200.0,12787.333333333332,338.60275790598297,1074.0639087606849
2024-10-27,12700.0,12846.333333333332,15.130535683760588,-161.46386901709272
2024-10-28,14600.0,12886.0,-129.03613098290606,1843.0361309829061
2024-10-29,11360.0,12871.944500000001,-76.17501987179537,-1435.769480128206
2024-10-30,9357.14,12855.111166666666,-548.1355754273505,-2949.835591239316
2024-10-31,14134.29,12936.666666666668,-274.9839087606838,1472.6072420940168
2024-11-01,12071.43,13012.666666666668,-32.167519871794596,-909.069146794873
2024-11-02,11628.57,13050.333333333332,354.01164679487164,-1775.774980128204
2024-11-03,13585.71,13081.0,338.93609123931617,165.77390876068296
2024-11-04,12342.86,13117.666666666668,-245.80585320512844,-529.0008134615389
2024-11-05,11900.0,12990.333333333334,263.8133134615385,-1354.1466467948724
2024-11-06,9333.330000000002,12790.666666666668,47.74404957264926,-3505.0807162393153
2024-11-07,14206.669999999998,12774.666666666666,165.07710512820506,1266.9262282051272
2024-11-08,14880.0,12728.333333333332,-498.746408760684,2650.413075427352
2024-11-09,14250.0,12595.333333333332,-400.3439087606838,2055.010575427352
2024-11-10,14580.0,12513.333333333332,107.61886901709389,1959.047797649574
2024-11-11,13350.0,12438.666666666666,-553.0580754273503,1464.3914087606843
2024-11-12,14500.0,12229.666666666666,-0.1091865384613584,2270.4425198717954
2024-11-13,9666.669999999998,12054.666666666666,272.7422023504276,-2660.7388690170956
2024-11-14,13533.330000000002,12048.714333333333,-41.272797649572155,1525.8884643162405
2024-11-15,12000.0,12000.523833333333,-282.2739301282052,281.7500967948725
2024-11-16,14160.0,11910.4285,-400.9552506410259,2650.526750641026
2024-11-17,12960.0,11860.095166666666,-261.00653269230787,1360.9113660256419
2024-11-18,15820.0,11795.523833333333,418.9055570512823,3605.570609615385
2024-11-19,14560.0,11601.047666666665,226.65306987179451,2732.2992634615402
